sat_i,sat_j,min_dist_km
736,845,0.807695
1042,1151,0.807702
49,1523,0.807769
109,218,0.807778
708,817,0.807909
882,991,0.807920
613,722,0.808027
35,1509,0.808039
77,186,0.808040
637,746,0.808044
913,1022,0.808049
14,1488,0.808140
27,136,0.808165
91,1565,0.808220
599,708,0.808239
233,342,0.808274
331,440,0.808338
1168,1277,0.808393
737,846,0.808452
1013,1122,0.808508
50,159,0.808540
1347,1456,0.808544
1397,1506,0.808549
82,191,0.808577
52,161,0.808622
1182,1291,0.808746
159,268,0.808747
754,863,0.808763
667,776,0.808876
280,389,0.808882
963,1072,0.808918
1200,1309,0.809008
1329,1438,0.809021
241,350,0.809059
199,308,0.809081
636,745,0.809089
546,655,0.809184
85,194,0.809205
341,450,0.809215
71,180,0.809255
1385,1494,0.809280
526,635,0.809373
734,843,0.809384
696,805,0.809394
1053,1162,0.809448
309,418,0.809450
196,305,0.809478
527,636,0.809508
368,477,0.809515
923,1032,0.809565
589,698,0.809567
649,758,0.809778
1284,1393,0.809818
884,993,0.809861
515,624,0.809922
89,198,0.809993
768,877,0.810111
1298,1429,0.810142
1177,1286,0.810153
662,771,0.810300
1414,1523,0.810393
12,121,0.810426
1183,1292,0.810637
831,940,0.810649
122,231,0.810729
265,374,0.810837
343,452,0.810897
1405,1514,0.810914
359,468,0.810946
398,507,0.810960
978,1087,0.810966
935,1044,0.811055
993,1102,0.811069
566,675,0.811152
33,1507,0.811194
1125,1234,0.811251
937,1046,0.811284
1139,1248,0.811319
25,1499,0.811367
65,1539,0.811372
1267,1376,0.811422
1294,1403,0.811502
735,844,0.811509
96,205,0.811543
420,529,0.811544
1016,1125,0.811762
969,1078,0.811802
377,486,0.811925
915,1024,0.812087
101,1575,0.812136
1448,1557,0.812174
957,1066,0.812178
1132,1241,0.812194
586,695,0.812240
530,639,0.812363
893,1002,0.812378
998,1107,0.812385
490,599,0.812427
1120,1229,0.812450
380,489,0.812956
1360,1469,0.813311
674,783,0.813325
500,609,0.813339
237,346,0.813360
951,1060,0.813472
10,119,0.813589
273,382,0.813618
478,587,0.813643
1189,1298,0.813826
151,260,0.813827
310,419,0.813877
1279,1388,0.813984
659,768,0.814073
945,1054,0.814079
111,220,0.814104
1062,1171,0.814160
155,264,0.814316
846,955,0.814379
1471,1580,0.814406
51,1525,0.814426
804,913,0.814485
927,1036,0.814550
1365,1474,0.814800
1209,1318,0.814966
178,287,0.815118
58,1532,0.815211
11,1485,0.815319
1100,1231,0.815368
1226,1335,0.815441
657,766,0.815486
1191,1300,0.815612
544,653,0.815620
126,235,0.815781
90,199,0.815821
806,915,0.815840
397,506,0.815897
445,554,0.816231
1231,1340,0.816321
95,204,0.816376
488,597,0.816471
1022,1131,0.816580
625,734,0.816616
